ID;Время создания;Время изменения;Сколько вам лет;Ваш пол;Обучаетесь?;Работаете?;Какую музыку слушаете?;Если не брать в расчёт время на сон, работу и учёбу (в том числе выполнение домашнего задания), сколько, примерно, свободного времени у вас остаётся (в минутах)?;Сколько времени вы тратите на сон (в часах)?;Как часто у вас бывают нервные срывы?;Есть ли у вас хронические болезни?;Какой у вас заработок в месяц;Я спокоен;Мне ничто не угрожает;Я нахожусь в напряжении;Я испытываю сожаление;Я чувствую себя свободно;Я расстроен;Меня волнуют возможные неудачи;Я чувствую себя отдохнувшим;Я встревожен;Я испытываю чувство внутреннего удовлетворения;Я уверен в себе;Я нервничаю;Я не нахожу себе места;Я взвинчен;Я не чувствую скованности, напряжения;Я доволен;Я озабочен;Я слишком возбуждён и мне не по себе;Мне радостно;Мне приятно;Я испытываю удовольствие;Я быстро устаю;Я легко могу заплакать;Я хотел бы быть таким же счастливым, как и другие;Бывает, что я проигрываю из-за того, что недостаточно быстро принимаю решения;Я чувствую себя бодрым;Я спокоен, хладнокровен и собран;Ожидание трудностей очень тревожит меня;Я слишком переживаю из-за пустяков;Я бываю вполне счастлив;Я принимаю всё слишком близко к сердцу;Мне не хватает уверенности в себе;Я чувствую себя в безопасности;Я стараюсь избегать критических ситуаций и трудностей;У меня бывает хандра;Я бываю доволен;Всякие пустяки отвлекают и волнуют меня;Я так сильно переживаю свои разочарования, что потом долго не могу о них забыть;Я уравновешенный человек;Меня охватывает сильное беспокойство, когда я думаю о своих делах и заботах;Я испытываю тревогу
991240538;22.11.2021 13:16;22.11.2021 13:16;18;М;Да;Нет;Я меломан;240;8;Крайне редко;Нет;до 15 тыс. руб;Совершенно верно;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Пожалуй так;Верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Верно;Верно;Верно;Верно;Верно;Совершенно верно;Верно;Нет
991119838;22.11.2021 11:37;22.11.2021 11:37;34;Ж;Нет;Да;Я меломан;-100;228;Крайне редко;Нет;от 60 тыс. руб и выше;Пожалуй так;Пожалуй так;Верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Верно;Пожалуй так;Совершенно верно;Пожалуй так;Верно;Совершенно верно;Верно;Верно;Пожалуй так;Совершенно верно;Верно;Верно;Пожалуй так;Пожалуй так;Совершенно верно;Совершенно верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Верно;Совершенно верно;Верно;Пожалуй так;Пожалуй так;Нет
988265583;19.11.2021 15:25;19.11.2021 15:25;18;М;Да;Нет;Умеренная (панк-рок, альтернативный рок, гранж, глэм);90;6;Крайне редко;Да;до 15 тыс. руб;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Верно;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет
988073103;19.11.2021 12:47;19.11.2021 12:47;50;Ж;Нет;Да;Классическую (Моцарт, Бах и т.д.);1807;8;Крайне редко;Да;от 60 тыс. руб и выше;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет
987403164;18.11.2021 20:20;18.11.2021 20:20;21;Ж;Да;Нет;Лёгкая (поп, рэп);2;6;Пару раз в месяц;Нет;до 15 тыс. руб;Нет это совсем не так;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Совершенно верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Совершенно верно;Пожалуй так;Да
987399725;18.11.2021 20:18;18.11.2021 20:18;22;М;Да;Да;Лёгкая (поп, рэп);360;8;Крайне редко;Нет;до 15 тыс. руб;Верно;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет
987386983;18.11.2021 20:08;18.11.2021 20:08;18;Ж;Да;Нет;Я меломан;240;7;Раз в месяц;Нет;до 15 тыс. руб;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет
987375045;18.11.2021 19:58;18.11.2021 19:58;18;Ж;Да;Да;Я меломан;180;7;Пару раз в месяц;Да;до 15 тыс. руб;Пожалуй так;Верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Верно;Верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Верно;Пожалуй так;Верно;Верно;Верно;Да
987363643;18.11.2021 19:49;18.11.2021 19:49;20;Ж;Да;Нет;Я меломан;300;8;Пару раз в год;Нет;до 15 тыс. руб;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Совершенно верно;Совершенно верно;Верно;Пожалуй так;Совершенно верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Совершенно верно;Верно;Нет это совсем не так;Совершенно верно;Верно;Да
987363503;18.11.2021 19:49;18.11.2021 19:49;21;М;Да;Да;Я меломан;240;6;Пару раз в неделю;Нет;до 15 тыс. руб;Пожалуй так;Нет это совсем не так;Совершенно верно;Пожалуй так;Верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Да
987359342;18.11.2021 19:46;18.11.2021 19:46;21;М;Да;Нет;Я меломан;250;10;Крайне редко;Нет;до 15 тыс. руб;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Нет это совсем не так;Верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Нет
987355079;18.11.2021 19:43;18.11.2021 19:43;20;Ж;Да;Нет;Лёгкая (поп, рэп);120;8;Крайне редко;Нет;до 15 тыс. руб;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Верно;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Пожалуй так;Верно;Совершенно верно;Совершенно верно;Пожалуй так;Верно;Да
987354227;18.11.2021 19:42;18.11.2021 19:42;18;Ж;Да;Нет;Я меломан;180;5;Пару раз в месяц;Нет;до 15 тыс. руб;Верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Верно;Нет это совсем не так;Да
987009343;18.11.2021 14:53;18.11.2021 14:53;22;М;Да;Нет;Я меломан;180;10;Раз в неделю;Да;до 15 тыс. руб;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Совершенно верно;Верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Да
986282164;17.11.2021 21:43;17.11.2021 21:43;21;М;Да;Да;Умеренная (панк-рок, альтернативный рок, гранж, глэм);180;5;Пару раз в год;Да;от 15 до 30 тыс. руб;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Верно;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Нет
986277756;17.11.2021 21:38;17.11.2021 21:38;22;М;Да;Нет;Я меломан;840;8;Крайне редко;Нет;до 15 тыс. руб;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Верно;Верно;Пожалуй так;Совершенно верно;Пожалуй так;Верно;Пожалуй так;Верно;Да
986218601;17.11.2021 20:47;17.11.2021 20:47;27;Ж;Нет;Да;Лёгкая (поп, рэп);120;6;Раз в месяц;Нет;от 60 тыс. руб и выше;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Верно;Пожалуй так;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Нет
986128149;17.11.2021 19:36;17.11.2021 19:36;18;Ж;Нет;Да;Я меломан;100;5;Раз в месяц;Нет;до 15 тыс. руб;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Да
986110831;17.11.2021 19:22;17.11.2021 19:22;25;Ж;Да;Да;Умеренная (панк-рок, альтернативный рок, гранж, глэм);120;8;Пару раз в год;Да;от 30 до 60 тыс. руб;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Верно;Совершенно верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Нет
986023456;17.11.2021 18:12;17.11.2021 18:12;21;Ж;Да;Нет;Я меломан;180;6;Крайне редко;Нет;от 15 до 30 тыс. руб;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Верно;Пожалуй так;Пожалуй так;Верно;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет
986023142;17.11.2021 18:12;17.11.2021 18:12;21;Ж;Да;Да;Я меломан;180;6;Раз в месяц;Да;от 15 до 30 тыс. руб;Пожалуй так;Совершенно верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Да
986016535;17.11.2021 18:07;17.11.2021 18:07;21;Ж;Да;Нет;Я меломан;120;7;Пару раз в год;Да;от 15 до 30 тыс. руб;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Пожалуй так;Верно;Совершенно верно;Верно;Верно;Совершенно верно;Пожалуй так;Совершенно верно;Да
986015676;17.11.2021 18:06;17.11.2021 18:06;22;Ж;Да;Да;Я меломан;240;5;Пару раз в неделю;Да;от 15 до 30 тыс. руб;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Совершенно верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Да
985582085;17.11.2021 12:31;17.11.2021 12:31;21;М;Да;Да;Я меломан;120;7;Пару раз в месяц;Нет;от 15 до 30 тыс. руб;Пожалуй так;Совершенно верно;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет
985404370;17.11.2021 9:49;17.11.2021 9:49;22;М;Да;Да;Умеренная (панк-рок, альтернативный рок, гранж, глэм);300;7;Крайне редко;Да;от 30 до 60 тыс. руб;Верно;Пожалуй так;Верно;Верно;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Совершенно верно;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Верно;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Верно;Верно;Верно;Да
985385405;17.11.2021 9:29;17.11.2021 9:29;43;Ж;Нет;Да;Я меломан;120;8;Пару раз в год;Нет;от 60 тыс. руб и выше;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет
