ID;Время создания;Время изменения;Сколько вам лет;Ваш пол;Обучаетесь?;Работаете?;Какую музыку слушаете?;Если не брать в расчёт время на сон, работу и учёбу (в том числе выполнение домашнего задания), сколько, примерно, свободного времени у вас остаётся (в минутах)?;Сколько времени вы тратите на сон (в часах)?;Как часто у вас бывают нервные срывы?;Есть ли у вас хронические болезни?;Какой у вас заработок в месяц;Я спокоен;Мне ничто не угрожает;Я нахожусь в напряжении;Я испытываю сожаление;Я чувствую себя свободно;Я расстроен;Меня волнуют возможные неудачи;Я чувствую себя отдохнувшим;Я встревожен;Я испытываю чувство внутреннего удовлетворения;Я уверен в себе;Я нервничаю;Я не нахожу себе места;Я взвинчен;Я не чувствую скованности, напряжения;Я доволен;Я озабочен;Я слишком возбуждён и мне не по себе;Мне радостно;Мне приятно;Я испытываю удовольствие;Я быстро устаю;Я легко могу заплакать;Я хотел бы быть таким же счастливым, как и другие;Бывает, что я проигрываю из-за того, что недостаточно быстро принимаю решения;Я чувствую себя бодрым;Я спокоен, хладнокровен и собран;Ожидание трудностей очень тревожит меня;Я слишком переживаю из-за пустяков;Я бываю вполне счастлив;Я принимаю всё слишком близко к сердцу;Мне не хватает уверенности в себе;Я чувствую себя в безопасности;Я стараюсь избегать критических ситуаций и трудностей;У меня бывает хандра;Я бываю доволен;Всякие пустяки отвлекают и волнуют меня;Я так сильно переживаю свои разочарования, что потом долго не могу о них забыть;Я уравновешенный человек;Меня охватывает сильное беспокойство, когда я думаю о своих делах и заботах;Я испытываю тревогу
985379252;17.11.2021 9:23;17.11.2021 9:23;20;Ж;Да;Нет;Умеренная (панк-рок, альтернативный рок, гранж, глэм);120;7;Пару раз в месяц;Нет;до 15 тыс. руб;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Да
985192255;17.11.2021 1:55;17.11.2021 1:55;21;М;Да;Нет;Я меломан;300;10;Крайне редко;Нет;до 15 тыс. руб;Совершенно верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Да
985178888;17.11.2021 1:03;17.11.2021 1:03;18;Ж;Да;Да;Я меломан;180;5;Пару раз в год;Да;от 60 тыс. руб и выше;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Совершенно верно;Совершенно верно;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Совершенно верно;Верно;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Нет
985003971;16.11.2021 21:13;16.11.2021 21:13;19;Ж;Да;Нет;Я меломан;360;8;Крайне редко;Нет;до 15 тыс. руб;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Совершенно верно;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Нет
984987911;16.11.2021 21:00;16.11.2021 21:00;21;Ж;Да;Да;Я меломан;180;8;Крайне редко;Нет;от 15 до 30 тыс. руб;Верно;Совершенно верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Совершенно верно;Верно;Верно;Верно;Верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Верно;Пожалуй так;Нет
984971867;16.11.2021 20:47;16.11.2021 20:47;22;Ж;Да;Да;Классическую (Моцарт, Бах и т.д.);5;10;Крайне редко;Нет;от 15 до 30 тыс. руб;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Совершенно верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Нет
984966929;16.11.2021 20:43;16.11.2021 20:43;18;Ж;Да;Нет;Я меломан;0;5;Пару раз в месяц;Нет;до 15 тыс. руб;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Верно;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Пожалуй так;Верно;Верно;Верно;Нет это совсем не так;Верно;Верно;Да
984958187;16.11.2021 20:36;16.11.2021 20:36;22;Ж;Нет;Да;Я меломан;6;10;Пару раз в месяц;Да;от 15 до 30 тыс. руб;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Совершенно верно;Совершенно верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Совершенно верно;Совершенно верно;Верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Да
984952131;16.11.2021 20:31;16.11.2021 20:31;21;М;Да;Нет;Я меломан;300;6;Крайне редко;Нет;до 15 тыс. руб;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет
984950682;16.11.2021 20:30;16.11.2021 20:30;18;Ж;Да;Нет;Я меломан;60;7;Раз в неделю;Да;до 15 тыс. руб;Пожалуй так;Верно;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Совершенно верно;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Совершенно верно;Совершенно верно;Пожалуй так;Пожалуй так;Пожалуй так;Совершенно верно;Верно;Верно;Верно;Верно;Пожалуй так;Верно;Совершенно верно;Да
984944393;16.11.2021 20:25;16.11.2021 20:25;20;М;Да;Нет;Я меломан;400;7;Крайне редко;Да;до 15 тыс. руб;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет
984943937;16.11.2021 20:24;16.11.2021 20:24;22;М;Нет;Да;Умеренная (панк-рок, альтернативный рок, гранж, глэм);300;8;Раз в день;Да;от 30 до 60 тыс. руб;Пожалуй так;Верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Совершенно верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Нет это совсем не так;Совершенно верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Пожалуй так;Пожалуй так;Совершенно верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Да
984941458;16.11.2021 20:22;16.11.2021 20:22;18;Ж;Да;Нет;Я меломан;180;7;Пару раз в неделю;Да;до 15 тыс. руб;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Совершенно верно;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет
984941412;16.11.2021 20:22;16.11.2021 20:22;23;М;Да;Нет;Я меломан;100;8;Крайне редко;Нет;от 15 до 30 тыс. руб;Верно;Совершенно верно;Верно;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Пожалуй так;Верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Да
984939729;16.11.2021 20:21;16.11.2021 20:21;22;М;Да;Да;Я меломан;180;6;Пару раз в месяц;Да;от 30 до 60 тыс. руб;Пожалуй так;Совершенно верно;Верно;Верно;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Совершенно верно;Совершенно верно;Совершенно верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Совершенно верно;Верно;Нет это совсем не так;Верно;Верно;Пожалуй так;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Да
984936906;16.11.2021 20:19;16.11.2021 20:19;22;Ж;Да;Да;Лёгкая (поп, рэп);6;7;Пару раз в год;Нет;от 15 до 30 тыс. руб;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Верно;Да
984922879;16.11.2021 20:07;16.11.2021 20:07;24;М;Да;Да;Я меломан;360;8;Крайне редко;Нет;до 15 тыс. руб;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Верно;Верно;Совершенно верно;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Нет
984922118;16.11.2021 20:07;16.11.2021 20:07;20;Ж;Нет;Да;Умеренная (панк-рок, альтернативный рок, гранж, глэм);2;8;Пару раз в месяц;Да;от 30 до 60 тыс. руб;Пожалуй так;Верно;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Совершенно верно;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Верно;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Пожалуй так;Совершенно верно;Совершенно верно;Верно;Верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Да
984919960;16.11.2021 20:05;16.11.2021 20:05;22;М;Нет;Нет;Умеренная (панк-рок, альтернативный рок, гранж, глэм);240;9;Раз в месяц;Да;до 15 тыс. руб;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Верно;Верно;Верно;Верно;Верно;Нет это совсем не так;Верно;Да
984918665;16.11.2021 20:04;16.11.2021 20:04;22;М;Да;Нет;Лёгкая (поп, рэп);180;9;Пару раз в год;Нет;до 15 тыс. руб;Пожалуй так;Пожалуй так;Верно;Верно;Пожалуй так;Совершенно верно;Совершенно верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Верно;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Верно;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Да
984916307;16.11.2021 20:02;16.11.2021 20:02;22;М;Нет;Нет;Я меломан;360;8;Крайне редко;Нет;до 15 тыс. руб;Верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Пожалуй так;Верно;Верно;Пожалуй так;Совершенно верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Нет
984916096;16.11.2021 20:02;16.11.2021 20:02;20;Ж;Да;Нет;Я меломан;180;6;Пару раз в неделю;Да;до 15 тыс. руб;Пожалуй так;Пожалуй так;Совершенно верно;Верно;Верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Совершенно верно;Пожалуй так;Пожалуй так;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Совершенно верно;Совершенно верно;Верно;Совершенно верно;Совершенно верно;Пожалуй так;Верно;Совершенно верно;Верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Совершенно верно;Да
984916054;16.11.2021 20:02;16.11.2021 20:02;22;М;Да;Нет;Умеренная (панк-рок, альтернативный рок, гранж, глэм);360;8;Крайне редко;Нет;до 15 тыс. руб;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Нет
984912376;16.11.2021 19:59;16.11.2021 19:59;22;М;Да;Нет;Лёгкая (поп, рэп);240;6;Крайне редко;Нет;до 15 тыс. руб;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Пожалуй так;Верно;Верно;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Нет это совсем не так;Нет
984911022;16.11.2021 19:58;16.11.2021 19:58;22;М;Да;Да;Я меломан;240;6;Крайне редко;Да;от 60 тыс. руб и выше;Пожалуй так;Верно;Верно;Совершенно верно;Верно;Совершенно верно;Верно;Нет это совсем не так;Совершенно верно;Нет это совсем не так;Верно;Совершенно верно;Совершенно верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Верно;Пожалуй так;Совершенно верно;Верно;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Верно;Верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Верно;Верно;Верно;Верно;Да
984909439;16.11.2021 19:56;16.11.2021 19:56;21;Ж;Да;Да;Я меломан;90;8;Крайне редко;Нет;от 60 тыс. руб и выше;Нет это совсем не так;Верно;Верно;Пожалуй так;Нет это совсем не так;Совершенно верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Совершенно верно;Пожалуй так;Верно;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Верно;Пожалуй так;Совершенно верно;Пожалуй так;Верно;Совершенно верно;Верно;Нет это совсем не так;Верно;Пожалуй так;Нет это совсем не так;Да
984909198;16.11.2021 19:56;16.11.2021 19:56;22;Ж;Да;Да;Я меломан;120;6;Крайне редко;Нет;от 15 до 30 тыс. руб;Нет это совсем не так;Верно;Совершенно верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Верно;Пожалуй так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Нет это совсем не так;Пожалуй так;Верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Нет это совсем не так;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Верно;Нет это совсем не так;Пожалуй так;Совершенно верно;Совершенно верно;Совершенно верно;Совершенно верно;Пожалуй так;Пожалуй так;Пожалуй так;Пожалуй так;Да
984548567;16.11.2021 15:11;16.11.2021 15:11;99;;;;;;;;;;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Да
983853658;15.11.2021 21:04;15.11.2021 21:04;;;;;;;;;;;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Нет это совсем не так;Пожалуй так;Верно;Совершенно верно;Да
983734632;15.11.2021 19:16;15.11.2021 19:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
